Description	
Number of Runs	26
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	3464	30	04/04/24 01:30:21 PM	
2	720	14393	30	04/04/24 01:30:51 PM	
3	740	18516	30	04/04/24 01:31:22 PM	
4	760	23661	30	04/04/24 01:31:52 PM	
5	780	26946	30	04/04/24 01:32:22 PM	
6	800	31354	30	04/04/24 01:32:53 PM	
7	820	33093	30	04/04/24 01:33:23 PM	
8	840	35916	30	04/04/24 01:33:53 PM	
9	860	37821	30	04/04/24 01:34:24 PM	
10	880	40434	30	04/04/24 01:34:54 PM	
11	900	42024	30	04/04/24 01:35:25 PM	
12	920	43972	30	04/04/24 01:35:55 PM	
13	940	45653	30	04/04/24 01:36:25 PM	
14	960	48152	30	04/04/24 01:36:56 PM	
15	980	48992	30	04/04/24 01:37:26 PM	
16	1000	51492	30	04/04/24 01:37:56 PM	
17	1020	53323	30	04/04/24 01:38:27 PM	
18	1040	57332	30	04/04/24 01:38:57 PM	
19	1060	59296	30	04/04/24 01:39:28 PM	
20	1080	61982	30	04/04/24 01:39:58 PM	
21	1100	64808	30	04/04/24 01:40:28 PM	
22	1120	72918	30	04/04/24 01:40:59 PM	
23	1140	75041	30	04/04/24 01:41:29 PM	
24	1160	81115	30	04/04/24 01:42:00 PM	
25	1180	84562	30	04/04/24 01:42:30 PM	
26	1200	102021	30	04/04/24 01:43:00 PM	
