Description	
Number of Runs	31
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	3813	30	04/09/24 01:05:49 PM	
2	900	3128	30	04/09/24 01:06:20 PM	
3	900	2762	30	04/09/24 01:06:50 PM	
4	900	2538	30	04/09/24 01:07:20 PM	
5	900	2172	30	04/09/24 01:07:51 PM	
6	900	1906	30	04/09/24 01:08:21 PM	
7	900	1626	30	04/09/24 01:08:51 PM	
8	900	1400	30	04/09/24 01:09:22 PM	
9	900	1330	30	04/09/24 01:09:52 PM	
10	900	1188	30	04/09/24 01:10:22 PM	
11	900	1058	30	04/09/24 01:10:53 PM	
12	900	924	30	04/09/24 01:11:23 PM	
13	900	785	30	04/09/24 01:11:53 PM	
14	900	688	30	04/09/24 01:12:24 PM	
15	900	662	30	04/09/24 01:12:54 PM	
16	900	547	30	04/09/24 01:13:24 PM	
17	900	460	30	04/09/24 01:13:55 PM	
18	900	441	30	04/09/24 01:14:25 PM	
19	900	378	30	04/09/24 01:14:55 PM	
20	900	362	30	04/09/24 01:15:26 PM	
21	900	353	30	04/09/24 01:15:56 PM	
22	900	261	30	04/09/24 01:16:27 PM	
23	900	248	30	04/09/24 01:16:57 PM	
24	900	193	30	04/09/24 01:17:27 PM	
25	900	197	30	04/09/24 01:17:58 PM	
26	900	179	30	04/09/24 01:18:28 PM	
27	900	162	30	04/09/24 01:18:58 PM	
28	900	151	30	04/09/24 01:19:29 PM	
29	900	148	30	04/09/24 01:19:59 PM	
30	900	130	30	04/09/24 01:20:29 PM	
31	900	124	30	04/09/24 01:21:00 PM	
