Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1340	1	04/04/24 02:14:58 PM	
2	900	1358	1	04/04/24 02:14:59 PM	
3	900	1360	1	04/04/24 02:15:01 PM	
4	900	1361	1	04/04/24 02:15:02 PM	
5	900	1333	1	04/04/24 02:15:03 PM	
6	900	1358	1	04/04/24 02:15:04 PM	
7	900	1385	1	04/04/24 02:15:05 PM	
8	900	1356	1	04/04/24 02:15:06 PM	
9	900	1413	1	04/04/24 02:15:07 PM	
10	900	1352	1	04/04/24 02:15:09 PM	
11	900	1341	1	04/04/24 02:15:10 PM	
12	900	1334	1	04/04/24 02:15:11 PM	
13	900	1361	1	04/04/24 02:15:12 PM	
14	900	1352	1	04/04/24 02:15:13 PM	
15	900	1379	1	04/04/24 02:15:14 PM	
16	900	1366	1	04/04/24 02:15:15 PM	
17	900	1378	1	04/04/24 02:15:17 PM	
18	900	1380	1	04/04/24 02:15:18 PM	
19	900	1366	1	04/04/24 02:15:19 PM	
20	900	1354	1	04/04/24 02:15:20 PM	
21	900	1361	1	04/04/24 02:15:21 PM	
22	900	1351	1	04/04/24 02:15:22 PM	
23	900	1349	1	04/04/24 02:15:23 PM	
24	900	1359	1	04/04/24 02:15:25 PM	
25	900	1375	1	04/04/24 02:15:26 PM	
26	900	1380	1	04/04/24 02:15:27 PM	
27	900	1372	1	04/04/24 02:15:28 PM	
28	900	1358	1	04/04/24 02:15:29 PM	
29	900	1371	1	04/04/24 02:15:30 PM	
30	900	1355	1	04/04/24 02:15:31 PM	
31	900	1354	1	04/04/24 02:15:33 PM	
32	900	1358	1	04/04/24 02:15:34 PM	
33	900	1368	1	04/04/24 02:15:35 PM	
34	900	1363	1	04/04/24 02:15:36 PM	
35	900	1374	1	04/04/24 02:15:37 PM	
36	900	1349	1	04/04/24 02:15:38 PM	
37	900	1356	1	04/04/24 02:15:40 PM	
38	900	1345	1	04/04/24 02:15:41 PM	
39	900	1359	1	04/04/24 02:15:42 PM	
40	900	1376	1	04/04/24 02:15:43 PM	
41	900	1369	1	04/04/24 02:15:44 PM	
42	900	1351	1	04/04/24 02:15:45 PM	
43	900	1368	1	04/04/24 02:15:46 PM	
44	900	1368	1	04/04/24 02:15:48 PM	
45	900	1387	1	04/04/24 02:15:49 PM	
46	900	1347	1	04/04/24 02:15:50 PM	
47	900	1379	1	04/04/24 02:15:51 PM	
48	900	1376	1	04/04/24 02:15:52 PM	
49	900	1349	1	04/04/24 02:15:53 PM	
50	900	1380	1	04/04/24 02:15:54 PM	
51	900	1366	1	04/04/24 02:15:56 PM	
52	900	1359	1	04/04/24 02:15:57 PM	
53	900	1394	1	04/04/24 02:15:58 PM	
54	900	1381	1	04/04/24 02:15:59 PM	
55	900	1381	1	04/04/24 02:16:00 PM	
56	900	1352	1	04/04/24 02:16:01 PM	
57	900	1348	1	04/04/24 02:16:02 PM	
58	900	1341	1	04/04/24 02:16:04 PM	
59	900	1362	1	04/04/24 02:16:05 PM	
60	900	1373	1	04/04/24 02:16:06 PM	
61	900	1356	1	04/04/24 02:16:07 PM	
62	900	1340	1	04/04/24 02:16:08 PM	
63	900	1372	1	04/04/24 02:16:09 PM	
64	900	1378	1	04/04/24 02:16:10 PM	
65	900	1365	1	04/04/24 02:16:12 PM	
66	900	1374	1	04/04/24 02:16:13 PM	
67	900	1391	1	04/04/24 02:16:14 PM	
68	900	1330	1	04/04/24 02:16:15 PM	
69	900	1398	1	04/04/24 02:16:16 PM	
70	900	1386	1	04/04/24 02:16:17 PM	
71	900	1369	1	04/04/24 02:16:19 PM	
72	900	1387	1	04/04/24 02:16:20 PM	
73	900	1354	1	04/04/24 02:16:21 PM	
74	900	1353	1	04/04/24 02:16:22 PM	
75	900	1371	1	04/04/24 02:16:23 PM	
76	900	1373	1	04/04/24 02:16:24 PM	
77	900	1352	1	04/04/24 02:16:25 PM	
78	900	1364	1	04/04/24 02:16:27 PM	
79	900	1385	1	04/04/24 02:16:28 PM	
80	900	1350	1	04/04/24 02:16:29 PM	
81	900	1373	1	04/04/24 02:16:30 PM	
82	900	1340	1	04/04/24 02:16:31 PM	
83	900	1385	1	04/04/24 02:16:32 PM	
84	900	1382	1	04/04/24 02:16:33 PM	
85	900	1391	1	04/04/24 02:16:35 PM	
86	900	1374	1	04/04/24 02:16:36 PM	
87	900	1417	1	04/04/24 02:16:37 PM	
88	900	1375	1	04/04/24 02:16:38 PM	
89	900	1363	1	04/04/24 02:16:39 PM	
90	900	1373	1	04/04/24 02:16:40 PM	
91	900	1383	1	04/04/24 02:16:41 PM	
92	900	1362	1	04/04/24 02:16:43 PM	
93	900	1343	1	04/04/24 02:16:44 PM	
94	900	1373	1	04/04/24 02:16:45 PM	
95	900	1358	1	04/04/24 02:16:46 PM	
96	900	1349	1	04/04/24 02:16:47 PM	
97	900	1378	1	04/04/24 02:16:48 PM	
98	900	1390	1	04/04/24 02:16:49 PM	
99	900	1397	1	04/04/24 02:16:51 PM	
100	900	1374	1	04/04/24 02:16:52 PM	
101	900	1364	1	04/04/24 02:16:53 PM	
102	900	1384	1	04/04/24 02:16:54 PM	
103	900	1368	1	04/04/24 02:16:55 PM	
104	900	1335	1	04/04/24 02:16:56 PM	
105	900	1380	1	04/04/24 02:16:57 PM	
106	900	1383	1	04/04/24 02:16:59 PM	
107	900	1371	1	04/04/24 02:17:00 PM	
108	900	1387	1	04/04/24 02:17:01 PM	
109	900	1377	1	04/04/24 02:17:02 PM	
110	900	1350	1	04/04/24 02:17:03 PM	
111	900	1390	1	04/04/24 02:17:04 PM	
112	900	1374	1	04/04/24 02:17:05 PM	
113	900	1350	1	04/04/24 02:17:07 PM	
114	900	1353	1	04/04/24 02:17:08 PM	
115	900	1359	1	04/04/24 02:17:09 PM	
116	900	1400	1	04/04/24 02:17:10 PM	
117	900	1391	1	04/04/24 02:17:11 PM	
118	900	1350	1	04/04/24 02:17:12 PM	
119	900	1381	1	04/04/24 02:17:14 PM	
120	900	1361	1	04/04/24 02:17:15 PM	
121	900	1347	1	04/04/24 02:17:16 PM	
122	900	1367	1	04/04/24 02:17:17 PM	
123	900	1389	1	04/04/24 02:17:18 PM	
124	900	1380	1	04/04/24 02:17:19 PM	
125	900	1370	1	04/04/24 02:17:20 PM	
126	900	1355	1	04/04/24 02:17:22 PM	
127	900	1381	1	04/04/24 02:17:23 PM	
128	900	1379	1	04/04/24 02:17:24 PM	
129	900	1386	1	04/04/24 02:17:25 PM	
130	900	1347	1	04/04/24 02:17:26 PM	
131	900	1363	1	04/04/24 02:17:27 PM	
132	900	1369	1	04/04/24 02:17:28 PM	
133	900	1355	1	04/04/24 02:17:30 PM	
134	900	1377	1	04/04/24 02:17:31 PM	
135	900	1393	1	04/04/24 02:17:32 PM	
136	900	1377	1	04/04/24 02:17:33 PM	
137	900	1376	1	04/04/24 02:17:34 PM	
138	900	1396	1	04/04/24 02:17:35 PM	
139	900	1406	1	04/04/24 02:17:36 PM	
140	900	1389	1	04/04/24 02:17:38 PM	
141	900	1355	1	04/04/24 02:17:39 PM	
142	900	1374	1	04/04/24 02:17:40 PM	
143	900	1370	1	04/04/24 02:17:41 PM	
144	900	1360	1	04/04/24 02:17:42 PM	
145	900	1402	1	04/04/24 02:17:43 PM	
146	900	1377	1	04/04/24 02:17:44 PM	
147	900	1375	1	04/04/24 02:17:46 PM	
148	900	1378	1	04/04/24 02:17:47 PM	
149	900	1352	1	04/04/24 02:17:48 PM	
150	900	1376	1	04/04/24 02:17:49 PM	
151	900	1376	1	04/04/24 02:17:50 PM	
152	900	1358	1	04/04/24 02:17:51 PM	
153	900	1377	1	04/04/24 02:17:52 PM	
154	900	1376	1	04/04/24 02:17:54 PM	
155	900	1387	1	04/04/24 02:17:55 PM	
156	900	1347	1	04/04/24 02:17:56 PM	
157	900	1398	1	04/04/24 02:17:57 PM	
158	900	1378	1	04/04/24 02:17:58 PM	
159	900	1368	1	04/04/24 02:17:59 PM	
160	900	1408	1	04/04/24 02:18:01 PM	
161	900	1384	1	04/04/24 02:18:02 PM	
162	900	1400	1	04/04/24 02:18:03 PM	
163	900	1379	1	04/04/24 02:18:04 PM	
164	900	1367	1	04/04/24 02:18:05 PM	
