Description	
Number of Runs	0
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	8295	30	04/09/24 11:40:14 AM	
2	900	4819	30	04/09/24 11:40:53 AM	
3	900	2990	30	04/09/24 11:41:30 AM	
4	900	2133	30	04/09/24 11:42:07 AM	
5	900	1606	30	04/09/24 11:42:46 AM	
6	900	1235	30	04/09/24 11:43:31 AM	
7	900	935	30	04/09/24 11:44:08 AM	
8	900	718	30	04/09/24 11:44:46 AM	
9	900	665	30	04/09/24 11:45:26 AM	
10	900	539	30	04/09/24 11:46:02 AM	
